STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.712042413 GHz,
TABLE,Region multMatVet,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000019,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,119380
CPU_CLK_UNHALTED_CORE,FIXC1,70398
CPU_CLK_UNHALTED_REF,FIXC2,61698
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,32778
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region multMatVet,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],1.876429e-05,
Runtime unhalted [s],2.595756e-05,
Clock [MHz],3094.4660,
CPI,0.5897,
DP [MFLOP/s],1746.8287,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],1746.8287,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.712042413 GHz,
TABLE,Region multMatMat,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.002959,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14865450
CPU_CLK_UNHALTED_CORE,FIXC1,8830404
CPU_CLK_UNHALTED_REF,FIXC2,7743664
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,4194314
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region multMatMat,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0030,
Runtime unhalted [s],0.0033,
Clock [MHz],3092.6484,
CPI,0.5940,
DP [MFLOP/s],1417.3121,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],1417.3121,
Vectorization ratio,0,
