STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.71204594 GHz,
TABLE,Region multMatVet,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000019,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,119291
CPU_CLK_UNHALTED_CORE,FIXC1,70963
CPU_CLK_UNHALTED_REF,FIXC2,62150
L2_TRANS_ALL_REQUESTS,PMC0,9540
L2_RQSTS_MISS,PMC1,3443
TABLE,Region multMatVet,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.873529e-05,
Runtime unhalted [s],2.616585e-05,
Clock [MHz],3096.6197,
CPI,0.5949,
L2 request rate,0.0800,
L2 miss rate,0.0289,
L2 miss ratio,0.3609,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.71204594 GHz,
TABLE,Region multMatMat,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.002935,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14865330
CPU_CLK_UNHALTED_CORE,FIXC1,8798875
CPU_CLK_UNHALTED_REF,FIXC2,7715301
L2_TRANS_ALL_REQUESTS,PMC0,3794763
L2_RQSTS_MISS,PMC1,54681
TABLE,Region multMatMat,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0029,
Runtime unhalted [s],0.0032,
Clock [MHz],3092.9387,
CPI,0.5919,
L2 request rate,0.2553,
L2 miss rate,0.0037,
L2 miss ratio,0.0144,
