STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.711947379 GHz,
TABLE,Region multMatVet,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000020,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,119285
CPU_CLK_UNHALTED_CORE,FIXC1,74525
CPU_CLK_UNHALTED_REF,FIXC2,65540
L2_LINES_IN_ALL,PMC0,2935
L2_TRANS_L2_WB,PMC1,406
TABLE,Region multMatVet,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],1.996201e-05,
Runtime unhalted [s],2.748025e-05,
Clock [MHz],3083.7333,
CPI,0.6248,
L3 load bandwidth [MBytes/s],9409.8741,
L3 load data volume [GBytes],0.0002,
L3 evict bandwidth [MBytes/s],1301.6725,
L3 evict data volume [GBytes],2.598400e-05,
L3 bandwidth [MBytes/s],10711.5466,
L3 data volume [GBytes],0.0002,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.711947379 GHz,
TABLE,Region multMatMat,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.002985,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14865330
CPU_CLK_UNHALTED_CORE,FIXC1,8933172
CPU_CLK_UNHALTED_REF,FIXC2,7833386
L2_LINES_IN_ALL,PMC0,1034963
L2_TRANS_L2_WB,PMC1,30492
TABLE,Region multMatMat,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0030,
Runtime unhalted [s],0.0033,
Clock [MHz],3092.6974,
CPI,0.6009,
L3 load bandwidth [MBytes/s],22193.7898,
L3 load data volume [GBytes],0.0662,
L3 evict bandwidth [MBytes/s],653.8717,
L3 evict data volume [GBytes],0.0020,
L3 bandwidth [MBytes/s],22847.6615,
L3 data volume [GBytes],0.0682,
