STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407985677 GHz,
TABLE,Region multMatVet,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],0.017291,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,96033300
CPU_CLK_UNHALTED_CORE,FIXC1,65254830
CPU_CLK_UNHALTED_REF,FIXC2,58670000
TEMP_CORE,TMP0,208
PWR_PKG_ENERGY,PWR0,0.1757
PWR_PP0_ENERGY,PWR1,0.1742
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.0244
TABLE,Region multMatVet,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],0.0173,
Runtime unhalted [s],0.0191,
Clock [MHz],3790.4811,
CPI,0.6795,
Temperature [C],208,
Energy [J],0.1757,
Power [W],10.1592,
Energy PP0 [J],0.1742,
Power PP0 [W],10.0745,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.0244,
Power DRAM [W],1.4084,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407985677 GHz,
TABLE,Region multMatMat,Group 1 Raw,ENERGY,8
Region Info,Core 3,
RDTSC Runtime [s],124.851200,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,448176100000
CPU_CLK_UNHALTED_CORE,FIXC1,468929200000
CPU_CLK_UNHALTED_REF,FIXC2,421638300000
TEMP_CORE,TMP0,208
PWR_PKG_ENERGY,PWR0,1307.7060
PWR_PP0_ENERGY,PWR1,1261.9940
PWR_PP1_ENERGY,PWR2,0.5651
PWR_DRAM_ENERGY,PWR3,171.9457
TABLE,Region multMatMat,Group 1 Metric,ENERGY,13
Metric,Core 3,
Runtime (RDTSC) [s],124.8512,
Runtime unhalted [s],137.5972,
Clock [MHz],3790.2249,
CPI,1.0463,
Temperature [C],208,
Energy [J],1307.7060,
Power [W],10.4741,
Energy PP0 [J],1261.9940,
Power PP0 [W],10.1080,
Energy PP1 [J],0.5651,
Power PP1 [W],0.0045,
Energy DRAM [J],171.9457,
Power DRAM [W],1.3772,
