STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407961569 GHz,
TABLE,Region multMatVet,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.017415,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,96032380
CPU_CLK_UNHALTED_CORE,FIXC1,65256540
CPU_CLK_UNHALTED_REF,FIXC2,58680790
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,32000010
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region multMatVet,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0174,
Runtime unhalted [s],0.0191,
Clock [MHz],3789.8566,
CPI,0.6795,
DP MFLOP/s,1837.5371,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1837.5371,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407961569 GHz,
TABLE,Region multMatMat,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],123.895500,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,448176100000
CPU_CLK_UNHALTED_CORE,FIXC1,465443700000
CPU_CLK_UNHALTED_REF,FIXC2,418511600000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,128000000000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region multMatMat,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],123.8955,
Runtime unhalted [s],136.5754,
Clock [MHz],3790.1321,
CPI,1.0385,
DP MFLOP/s,1033.1287,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1033.1287,
Vectorization ratio,0,
